"Name","Votes","Date","Rank","CID"
"てのりくま","4141","2012/07/27 0:00:00","37","67"
"ぱんくんち","3848","2012/07/27 0:00:00","38","96"
"ぽこぽん日記","3760","2012/07/27 0:00:00","39","84"
"フランボアルゥルゥ","3704","2012/07/27 0:00:00","40","25"
"ザ　ボードビルデュオ","3503","2012/07/27 0:00:00","41","68"
"いちごの王さま","3438","2012/07/27 0:00:00","42","83"
"セブンシリードワーフス","3278","2012/07/27 0:00:00","43","46"
"ザシキブタ","3103","2012/07/27 0:00:00","44","20"
"ちびまる","2995","2012/07/27 0:00:00","45","81"
"パウ　ピポ","2885","2012/07/27 0:00:00","46","71"
"タイニーポエム","2854","2012/07/27 0:00:00","47","58"
"るるる学園","2560","2012/07/27 0:00:00","48","94"
"ザ　ラナバウツ","2462","2012/07/27 0:00:00","49","75"
"ノラネコランド","2396","2012/07/27 0:00:00","50","40"
"メローチューン","2310","2012/07/27 0:00:00","51","27"
"ボタンノーズ","2304","2012/07/27 0:00:00","52","17"
"チョコキャット","2304","2012/07/27 0:00:00","52","32"
"たらいぐまのらんどりー","2205","2012/07/27 0:00:00","54","10"
"プワワ","2156","2012/07/27 0:00:00","55","92"
"ぽんぽんひえた","1972","2012/07/27 0:00:00","56","38"
"ウメ屋雑貨店","1967","2012/07/27 0:00:00","57","57"
"ミスター　ベアーズ　ドリーム","1862","2012/07/27 0:00:00","58","42"
"ウィー・メリールー","1850","2012/07/27 0:00:00","59","16"
"パンナピッタ","1835","2012/07/27 0:00:00","60","99"
"スウィートコロン","1688","2012/07/27 0:00:00","61","73"
"パンダップル","1588","2012/07/27 0:00:00","62","98"
"ビートロイド","1526","2012/07/27 0:00:00","63","13"
"キッズベア","1509","2012/07/27 0:00:00","64","64"
"ウィンキーピンキー","1453","2012/07/27 0:00:00","65","30"
"八千代チャーマー","1418","2012/07/27 0:00:00","66","56"
"へーすけ","1362","2012/07/27 0:00:00","67","37"
"ちょこぱんだ","1271","2012/07/27 0:00:00","68","97"
"ねむっこにゃーご","1267","2012/07/27 0:00:00","69","29"
"ディアリー　ルー","1260","2012/07/27 0:00:00","70","49"
"コロちゃん","1203","2012/07/27 0:00:00","71","62"
"こぶたのピッポ","1167","2012/07/27 0:00:00","72","36"
"シュガークリームパフ","1142","2012/07/27 0:00:00","73","43"
"ミミックマイク","1137","2012/07/27 0:00:00","74","82"
"スモールピープル","1125","2012/07/27 0:00:00","75","18"
"カルチャーショック","1075","2012/07/27 0:00:00","76","60"
"おきがるふれんず","1054","2012/07/27 0:00:00","77","6"
"ララバイラバブルズ","980","2012/07/27 0:00:00","78","55"
"ウィアー　ダイナソアーズ","895","2012/07/27 0:00:00","79","11"
"だちょのすけ","889","2012/07/27 0:00:00","80","70"
"フレンドリーコッコちゃん","830","2012/07/27 0:00:00","81","33"
"てつなぎクマ","744","2012/07/27 0:00:00","82","63"
"ブーギーウー","735","2012/07/27 0:00:00","83","45"
"ボ・ボクねずみ小僧だい！","723","2012/07/27 0:00:00","84","59"
"ギミーファイブ","677","2012/07/27 0:00:00","85","90"
"プカプカパラダイス","666","2012/07/27 0:00:00","86","87"
"ホリーズベアー","606","2012/07/27 0:00:00","87","66"
"スティル スモール テールズ","597","2012/07/27 0:00:00","88","72"
"スパンキーバロー","568","2012/07/27 0:00:00","89","48"
"リトルコットンウッドコテージ","565","2012/07/27 0:00:00","90","50"
"トゥイーディードロップス","563","2012/07/27 0:00:00","91","7"
"ピーター　デイビス","558","2012/07/27 0:00:00","92","23"
"ロビーラビット","527","2012/07/27 0:00:00","93","4"
"ベアロビクス","520","2012/07/27 0:00:00","94","61"
"キャプテンウィリー","516","2012/07/27 0:00:00","95","88"
"トゥィードルディーディー","462","2012/07/27 0:00:00","96","65"
"ファン　カム　アライブ","453","2012/07/27 0:00:00","97","89"
"スポッティドッティ","446","2012/07/27 0:00:00","98","76"
"カッパルンバ","434","2012/07/27 0:00:00","99","86"
"ゲーターギャグス","416","2012/07/27 0:00:00","100","91"
